StartDate,Participant_Count
2018-06-21,27
2018-07-04,26
2018-10-31,18
2018-11-01,44
2018-12-14,63
2019-04-13,15
2019-06-27,34
2019-06-28,1
2019-06-30,15
2019-07-01,8
2019-07-02,6
2019-07-03,287
2019-07-04,1
2019-07-06,1
2019-07-09,181
2019-07-10,19
2019-07-11,16
2019-07-12,1
2019-07-13,1
2019-08-22,1
2019-09-16,23
2019-09-26,68
2019-09-29,17
2019-10-05,12
2019-10-07,15
2019-10-08,2
2019-10-09,23
2019-10-10,2
2019-10-11,1
2019-10-17,28
2019-10-18,6
2019-10-19,57
2019-10-23,60
2019-11-26,325
2019-11-27,21
2019-11-28,8
2019-12-01,1
2019-12-03,123
2019-12-04,66
2019-12-05,80
2019-12-06,10
2019-12-07,2
2019-12-08,2
2019-12-09,3
2019-12-10,4
2019-12-11,1
2020-01-14,208
2020-01-15,79
2020-01-28,53
2020-01-30,8
2020-05-13,519
2020-05-14,25
2020-05-15,8
2020-05-16,2
2020-05-17,4
2020-05-18,12
2020-05-19,5
2020-06-17,326
2020-06-18,28
2020-06-19,121
2020-06-20,10
2020-06-21,4
2020-06-22,11
2020-06-23,8
2020-06-24,2
2020-07-09,125
2020-07-10,27
2020-07-11,17
2020-07-12,4
2020-07-13,51
2020-07-14,22
2020-07-15,21
2020-07-16,1
2020-07-17,18
2020-07-19,1
2020-07-20,1
2020-07-21,3
2020-07-22,3
2020-07-23,3
2020-08-26,78
2020-08-27,4
2020-08-28,4
2020-08-31,1
2020-09-01,2
2020-09-02,1
2020-09-03,9
2020-09-04,1
2020-09-06,1
2020-09-07,1
2020-09-08,4
2020-09-09,4
2020-09-23,212
2020-10-02,200
2020-10-14,75
2020-10-15,11
2020-10-16,4
2020-10-22,75
2020-10-23,2
2020-11-03,30
