Question,Degree_Centrality
LSAS_1,0.34545454545454546
LSAS_2,0.45454545454545453
LSAS_3,0.2545454545454545
LSAS_4,0.2545454545454545
LSAS_5,0.41818181818181815
LSAS_7,0.39999999999999997
LSAS_8,0.39999999999999997
LSAS_9,0.3818181818181818
LSAS_10,0.36363636363636365
LSAS_11,0.43636363636363634
LSAS_12,0.41818181818181815
LSAS_14,0.41818181818181815
LSAS_16,0.3818181818181818
LSAS_17,0.2909090909090909
LSAS_18,0.3818181818181818
LSAS_19,0.45454545454545453
LSAS_20,0.3818181818181818
LSAS_22,0.3818181818181818
LSAS_23,0.3818181818181818
LSAS_24,0.34545454545454546
LSAS_6,0.2909090909090909
LSAS_15,0.34545454545454546
LSAS_21,0.2545454545454545
CFS_2,0.3090909090909091
CFS_3,0.21818181818181817
CFS_10,0.09090909090909091
LSAS_13,0.10909090909090909
CFS_1,0.09090909090909091
CFS_4,0.07272727272727272
CFS_6,0.12727272727272726
CFS_7,0.12727272727272726
CFS_9,0.09090909090909091
CFS_12,0.18181818181818182
CFS_5,0.03636363636363636
BDI_2,0.3818181818181818
BDI_3,0.3818181818181818
BDI_6,0.32727272727272727
BDI_13,0.3818181818181818
CFS_8,0.09090909090909091
CFS_11,0.05454545454545454
BDI_7,0.36363636363636365
BDI_1,0.3090909090909091
BDI_4,0.34545454545454546
BDI_5,0.32727272727272727
BDI_8,0.34545454545454546
BDI_9,0.32727272727272727
BDI_10,0.32727272727272727
BDI_11,0.34545454545454546
BDI_12,0.34545454545454546
BDI_14,0.34545454545454546
BDI_16,0.34545454545454546
BDI_17,0.34545454545454546
BDI_18,0.34545454545454546
BDI_19,0.34545454545454546
BDI_15,0.2727272727272727
BDI_20,0.2909090909090909
