Question,Bridge_Centrality
LSAS_1,0
LSAS_2,3
LSAS_3,0
LSAS_4,0
LSAS_5,2
LSAS_7,1
LSAS_8,1
LSAS_9,0
LSAS_10,1
LSAS_11,2
LSAS_12,2
LSAS_14,1
LSAS_16,1
LSAS_17,0
LSAS_18,1
LSAS_19,3
LSAS_20,1
LSAS_22,0
LSAS_23,1
LSAS_24,0
LSAS_6,1
LSAS_15,1
LSAS_21,0
CFS_2,15
CFS_3,9
CFS_10,2
LSAS_13,0
CFS_1,0
CFS_4,0
CFS_6,0
CFS_7,0
CFS_9,0
CFS_12,4
CFS_5,0
BDI_2,2
BDI_3,2
BDI_6,1
BDI_13,2
CFS_8,0
CFS_11,0
BDI_7,1
BDI_1,0
BDI_4,0
BDI_5,0
BDI_8,0
BDI_9,0
BDI_10,0
BDI_11,0
BDI_12,0
BDI_14,0
BDI_16,0
BDI_17,0
BDI_18,0
BDI_19,0
BDI_15,0
BDI_20,0
