Node,Bridge_Strength,Bridge_Betweenness,Time
BDI_1,0.152767385790429,45,T1
BDI_2,0.131039625412597,6,T1
BDI_3,0.150082214046001,31,T1
BDI_4,0.0300440625766135,52,T1
BDI_5,0.125308422869196,28,T1
BDI_6,0.122462409879682,58,T1
BDI_7,0.0986944692083689,75,T1
BDI_8,0.0709740119313686,4,T1
BDI_9,0.0,0,T1
BDI_10,0.0763372555804013,51,T1
BDI_11,0.0585937382475884,30,T1
BDI_12,0.170049041996345,66,T1
BDI_13,0.198360180052181,75,T1
BDI_14,0.0073437693007667,16,T1
BDI_15,0.0302408108526796,18,T1
BDI_16,0.0702240241916834,10,T1
BDI_17,0.007364603975133,22,T1
BDI_18,0.0520450754021768,41,T1
BDI_19,0.0614311670782236,87,T1
BDI_20,0.0254352859069843,0,T1
CFS_1,0.139589629772103,104,T1
CFS_2_R,0.482708644502526,200,T1
CFS_3_R,0.366145109136941,93,T1
CFS_4,0.0505582153934224,7,T1
CFS_5_R,0.109634574275899,48,T1
CFS_6,0.0531164563078267,20,T1
CFS_7,0.0767325872113092,103,T1
CFS_8,0.0006332367367678,0,T1
CFS_9,0.0078807190978342,0,T1
CFS_10_R,0.282682867680855,79,T1
CFS_11,0.0707250283155667,10,T1
CFS_12,0.286643993636838,264,T1
LSAS_1,0.0623797915267231,24,T1
LSAS_2,0.192884963120221,38,T1
LSAS_3,0.0656858815351339,31,T1
LSAS_4,0.0232395558682838,0,T1
LSAS_5,0.0160792460364001,0,T1
LSAS_6,0.0023913252536313,5,T1
LSAS_7,0.118693381364988,26,T1
LSAS_8,0.0780763159731216,14,T1
LSAS_9,0.0323728501754633,46,T1
LSAS_10,0.0528731214617646,30,T1
LSAS_11,0.0652698416799616,56,T1
LSAS_12,0.0678067330187536,0,T1
LSAS_13,0.0157417186148295,21,T1
LSAS_14,0.107033046928896,51,T1
LSAS_15,0.133933332425085,24,T1
LSAS_16,0.151420917410457,97,T1
LSAS_17,0.160727836007596,139,T1
LSAS_18,0.130111218267663,79,T1
LSAS_19,0.10424161504053,3,T1
LSAS_20,0.0128151284292499,29,T1
LSAS_21,0.130442422055003,3,T1
LSAS_22,0.0606433514244088,48,T1
LSAS_23,0.040864138292615,9,T1
LSAS_24,0.0122753992148983,14,T1
BDI_1,0.11116074529968,23,T2
BDI_2,0.108128968805223,72,T2
BDI_3,0.119754903067551,143,T2
BDI_4,0.0763325671817586,55,T2
BDI_5,0.0516608054859074,21,T2
BDI_6,0.075753246824197,12,T2
BDI_7,0.121814174198743,50,T2
BDI_8,0.0310412951171112,3,T2
BDI_9,0.0,11,T2
BDI_10,0.0942717219849422,14,T2
BDI_11,0.0010953718401545,24,T2
BDI_12,0.0959701569254009,103,T2
BDI_13,0.0940375566613998,98,T2
BDI_14,0.0220529541486822,43,T2
BDI_15,0.0266901473600993,25,T2
BDI_16,0.009753270652511,0,T2
BDI_17,0.0773920760179185,11,T2
BDI_18,0.131469511247071,149,T2
BDI_19,0.0754102763744565,187,T2
BDI_20,0.021109071956772,0,T2
CFS_1,0.129210317844321,24,T2
CFS_2_R,0.320623279264816,96,T2
CFS_3_R,0.291298070812664,179,T2
CFS_4,0.110937250869844,0,T2
CFS_5_R,0.176566898356704,125,T2
CFS_6,0.137072239538109,19,T2
CFS_7,0.0938689366282787,22,T2
CFS_8,0.056780240834331,30,T2
CFS_9,0.0746616511484226,3,T2
CFS_10_R,0.111598158284445,8,T2
CFS_11,0.0755974561166676,2,T2
CFS_12,0.463584789591947,193,T2
LSAS_1,0.0541893354362539,0,T2
LSAS_2,0.103321541397141,36,T2
LSAS_3,0.0365068948209313,13,T2
LSAS_4,0.102314582893167,37,T2
LSAS_5,0.111257660247603,16,T2
LSAS_6,0.005455696223764,21,T2
LSAS_7,0.0156606416904592,93,T2
LSAS_8,0.0656142335931899,74,T2
LSAS_9,0.0726307318534384,33,T2
LSAS_10,0.131800753645656,37,T2
LSAS_11,0.0787112372517925,16,T2
LSAS_12,0.0379764161457274,19,T2
LSAS_13,0.0463960081687057,8,T2
LSAS_14,0.0240832925680188,5,T2
LSAS_15,0.166622869695449,98,T2
LSAS_16,0.151714554600599,38,T2
LSAS_17,0.14159208966644,12,T2
LSAS_18,0.0910993792088513,9,T2
LSAS_19,0.0861951404687922,0,T2
LSAS_20,0.0285106815556782,18,T2
LSAS_21,0.101343626779618,176,T2
LSAS_22,0.0821547489111226,80,T2
LSAS_23,0.164919263669339,174,T2
LSAS_24,0.0406810258878006,8,T2
BDI_1,0.0154173090532967,28,T3
BDI_2,0.0873654284900219,32,T3
BDI_3,0.161365312695796,194,T3
BDI_4,0.0839057760266508,15,T3
BDI_5,0.0591504850472191,2,T3
BDI_6,0.118600681475289,64,T3
BDI_7,0.0375518925707286,41,T3
BDI_8,0.092553716997036,73,T3
BDI_9,0.0326802221616975,5,T3
BDI_10,0.0672853406557556,57,T3
BDI_11,0.184823291023609,74,T3
BDI_12,0.0870979841343253,109,T3
BDI_13,0.077792931925426,51,T3
BDI_14,0.0789228910832607,20,T3
BDI_15,0.170627247293906,132,T3
BDI_16,0.0583297115232739,10,T3
BDI_17,0.167601802370732,27,T3
BDI_18,0.091948685700265,30,T3
BDI_19,0.0302550131950436,36,T3
BDI_20,0.0956518461784961,0,T3
CFS_1,0.0597781075997298,36,T3
CFS_2_R,0.435936141330133,43,T3
CFS_3_R,0.268414752260537,219,T3
CFS_4,0.136696977506507,29,T3
CFS_5_R,0.117473005813806,67,T3
CFS_6,0.0820257053270106,8,T3
CFS_7,0.0072460203844402,26,T3
CFS_8,0.0245657967803741,4,T3
CFS_9,0.106345261960751,6,T3
CFS_10_R,0.220526872231591,97,T3
CFS_11,0.0,5,T3
CFS_12,0.249949988086444,87,T3
LSAS_1,0.0786899794036199,29,T3
LSAS_2,0.105421761464405,16,T3
LSAS_3,0.0651739187648025,16,T3
LSAS_4,0.0875634876972166,53,T3
LSAS_5,0.101669334929982,118,T3
LSAS_6,0.115627049123489,50,T3
LSAS_7,0.0821679186982227,71,T3
LSAS_8,0.16724217469187,41,T3
LSAS_9,0.0696595217919667,18,T3
LSAS_10,0.0114609161033489,56,T3
LSAS_11,0.146745676864853,74,T3
LSAS_12,0.132062424123162,67,T3
LSAS_13,0.0814077497896392,9,T3
LSAS_14,0.118202110961443,76,T3
LSAS_15,0.136177881724362,54,T3
LSAS_16,0.0601446986432211,45,T3
LSAS_17,0.0897463572200163,0,T3
LSAS_18,0.0332638179503037,2,T3
LSAS_19,0.113371257006456,18,T3
LSAS_20,0.0742788820323817,4,T3
LSAS_21,0.0241647745811162,0,T3
LSAS_22,0.19279175705878,70,T3
LSAS_23,0.0934907445023628,81,T3
LSAS_24,0.0457927091555918,4,T3
