,slope
BDI1,0.0005025919125086998
BDI10,0.036842603913356864
BDI11,0.035490929434107164
BDI12,-0.02359835958331107
BDI13,-0.04302980812177969
BDI14,0.02752344902571718
BDI15,0.03586990358716721
BDI16,0.034931491398637604
BDI17,0.015125580304169174
BDI18,0.01278135447166704
BDI19,0.003080518472731039
BDI2,0.02396379894518564
BDI20,0.007870029911885765
BDI3,-0.022687919296555115
BDI4,0.007528050854718735
BDI5,-0.03139710626164804
BDI6,-0.02303621458960453
BDI7,-0.013823533392588532
BDI8,-0.03867160536158537
BDI9,0.0012452007886254203
CFS1,-0.0359826935136697
CFS10_R,-0.12393718052252195
CFS11,0.019719288430921782
CFS12,-0.056585352648976656
CFS2_R,0.09437809890323579
CFS3_R,-0.08906524220507822
CFS4,0.017384988111943903
CFS5_R,-0.09362015059709898
CFS6,-0.018136620182169414
CFS7,-0.025562708943326982
CFS8,-0.018267456496916364
CFS9,-0.025296524716776785
LSAS_1,0.03436483480786917
LSAS_10,-0.09491768591163827
LSAS_11,0.11014883758701219
LSAS_12,0.33489404514303583
LSAS_13,0.5228237183680616
LSAS_14,0.2763650964804979
LSAS_15,0.048928270118334984
LSAS_16,0.022629268534766614
LSAS_17,0.0031184158880359168
LSAS_18,0.012791279985199584
LSAS_19,-0.03151711474345379
LSAS_2,0.598839617236101
LSAS_20,0.10919237901024287
LSAS_21,0.28243951076241036
LSAS_22,0.13805487004344202
LSAS_23,0.5604702888775566
LSAS_24,0.24096800826524062
LSAS_3,1.0886393474425997
LSAS_4,1.1061335162033985
LSAS_5,-0.10373424888676883
LSAS_6,0.10350145047844926
LSAS_7,0.8302421374142203
LSAS_8,-0.041879350871419155
LSAS_9,0.013267704634757948
